Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Dynamics: Darboux inequality,Scripted proof,proved,60000,367,163,0,215,3
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Dynamics: Bifurcation,Scripted proof,proved,60000,2242,1750,0,1500,35
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Dynamics: Parametric switching between two different damped oscillators,Scripted proof,proved,60000,8477,1954,0,1775,11
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Dynamics: Nonlinear 1,Scripted proof,proved,60000,830,270,0,423,2
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Dynamics: Nonlinear 2,Scripted proof,proved,60000,937,329,0,454,2
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Dynamics: Nonlinear 4,Scripted proof,proved,60000,957,355,0,452,2
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Dynamics: Nonlinear 5,Scripted proof,proved,60000,843,305,0,387,2
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Dynamics: Riccati,Scripted proof,proved,60000,859,297,0,274,2
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Dynamics: Nonlinear differential cut,Scripted proof,proved,60000,1364,483,0,959,2
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/Affine: Overdamped Door Closing Mechanism,Scripted proof,proved,60000,9569,1907,0,4812,16
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/STTT Tutorial: Example 1,Scripted proof,proved,60000,627,210,0,220,2
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/STTT Tutorial: Example 2,Scripted proof,proved,60000,326,0,0,182,11
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/STTT Tutorial: Example 3a,Scripted proof,proved,60000,4534,2251,0,5825,8
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/STTT Tutorial: Example 4a,Scripted proof,proved,60000,268,0,0,143,11
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/STTT Tutorial: Example 4b,Scripted proof,proved,60000,293,0,0,143,11
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/STTT Tutorial: Example 4c,Scripted proof,proved,60000,936,325,0,656,20
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/STTT Tutorial: Example 5,Scripted proof,proved,60000,3093,1953,0,4038,21
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/STTT Tutorial: Example 6,Scripted proof,proved,60000,8816,2344,0,4008,19
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/STTT Tutorial: Example 7,Scripted proof,proved,60000,3433,2334,0,4161,18
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/STTT Tutorial: Example 9a,Scripted proof,proved,60000,1054,490,0,590,2
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/STTT Tutorial: Example 9b,Scripted proof,proved,60000,2507,1954,0,2180,15
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/STTT Tutorial: Example 10,Scripted proof,proved,60000,12069,9108,0,12838,74
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/LICS: Example 1 Continuous car accelerates forward,Scripted proof,proved,60000,221,0,0,77,5
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/LICS: Example 2 Single car drives forward,Scripted proof,proved,60000,273,0,0,148,11
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/LICS: Example 3a event-triggered car drives forward,Scripted proof,proved,60000,275,0,0,148,11
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/LICS: Example 4a safe stopping of time-triggered car,Scripted proof,proved,60000,2955,1958,0,3473,11
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/LICS: Example 4b progress of time-triggered car,user,failed,60000,-1,-1,-1,-1,-1
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/LICS: Example 4c relative safety of time-triggered car,Scripted proof,proved,60000,3316,2038,0,5076,13
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/LICS: Example 5 Controllability Equivalence,Scripted proof,proved,60000,2744,1672,0,3138,7
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/LICS: Example 6 MPC Acceleration Equivalence,Scripted proof,proved,60000,9904,2681,0,9594,26
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Basic/LICS: Example 7 Model-Predictive Control Design Car,Scripted proof,proved,60000,2446,1522,0,1891,43
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Games/Dual Filibuster Game,Scripted proof,proved,60000,250,109,0,56,11
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Games/Push-around cart,Scripted proof,proved,60000,687,256,0,875,27
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Games/Goalie in robot soccer,Scripted proof,proved,60000,3328,1793,0,4615,36
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/Ahmadi Parrilo Krstic,Scripted proof,proved,60000,530,198,0,353,6
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/Arrowsmith Place Fig_3_11 page 83,Scripted proof,proved,60000,649,244,0,324,6
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/Arrowsmith Place Fig_3_5e page 79,Scripted proof,proved,60000,1270,454,0,850,6
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/Ben Sassi Girard 20104 Moore-Greitzer Jet,Scripted proof,proved,60000,9726,2615,0,1401,7
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/Ben Sassi Girard Sankaranarayanan 2014 Fitzhugh-Nagumo,Scripted proof,proved,60000,2887,2179,0,1278,6
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/Bhatia Szego Ex_2_4 page 68,Scripted proof,proved,60000,7010,514,0,1020,7
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
Benchmarks/Nonlinear/Collin Goriely page 60,Scripted proof,proved,60000,837,326,0,705,9
Name,Tactic,Status,Timeout,Duration,QE duration,RCF duration,Proof steps,Tactic size
