benchmark,instance,result,time,comment
Benchmarks/Basic/STTT Tutorial: Example 4b,user,proved,1382,timeout=60000 | QE=312 | RCF=0 | proof_steps=1740 | tactic_size=1
Benchmarks/Basic/STTT Tutorial: Example 4c,user,proved,2237,timeout=60000 | QE=584 | RCF=0 | proof_steps=2185 | tactic_size=1
Benchmarks/Basic/STTT Tutorial: Example 5,user,proved,4279,timeout=60000 | QE=678 | RCF=0 | proof_steps=3725 | tactic_size=1
Benchmarks/Basic/STTT Tutorial: Example 6,user,proved,5411,timeout=60000 | QE=763 | RCF=0 | proof_steps=3763 | tactic_size=1
Benchmarks/Basic/STTT Tutorial: Example 7,user,proved,8430,timeout=60000 | QE=1036 | RCF=0 | proof_steps=3894 | tactic_size=1
Benchmarks/Basic/STTT Tutorial: Example 9a,user,proved,908,timeout=60000 | QE=421 | RCF=0 | proof_steps=547 | tactic_size=1
Benchmarks/Basic/STTT Tutorial: Example 9b,user,timeout,-1,timeout=60000 | QE=-1 | RCF=-1 | proof_steps=-1 | tactic_size=-1
Benchmarks/Basic/STTT Tutorial: Example 10,user,timeout,-1,timeout=60000 | QE=-1 | RCF=-1 | proof_steps=-1 | tactic_size=-1
Benchmarks/Basic/LICS: Example 1 Continuous car accelerates forward,user,proved,224,timeout=60000 | QE=17 | RCF=0 | proof_steps=61 | tactic_size=1
Benchmarks/Basic/LICS: Example 2 Single car drives forward,user,proved,1496,timeout=60000 | QE=332 | RCF=0 | proof_steps=1791 | tactic_size=1
Benchmarks/Basic/LICS: Example 3a event-triggered car drives forward,user,proved,1563,timeout=60000 | QE=348 | RCF=0 | proof_steps=1843 | tactic_size=1
Benchmarks/Basic/LICS: Example 4a safe stopping of time-triggered car,user,proved,4078,timeout=60000 | QE=601 | RCF=0 | proof_steps=3486 | tactic_size=1
Benchmarks/Basic/LICS: Example 4b progress of time-triggered car,user,failed,-1,timeout=60000 | QE=-1 | RCF=-1 | proof_steps=-1 | tactic_size=-1
Benchmarks/Basic/LICS: Example 4c relative safety of time-triggered car,user,failed,-1,timeout=60000 | QE=-1 | RCF=-1 | proof_steps=-1 | tactic_size=-1
Benchmarks/Basic/LICS: Example 5 Controllability Equivalence,user,proved,3587,timeout=60000 | QE=748 | RCF=0 | proof_steps=2979 | tactic_size=1
Benchmarks/Basic/LICS: Example 6 MPC Acceleration Equivalence,user,failed,-1,timeout=60000 | QE=-1 | RCF=-1 | proof_steps=-1 | tactic_size=-1
Benchmarks/Basic/LICS: Example 7 Model-Predictive Control Design Car,user,failed,-1,timeout=60000 | QE=-1 | RCF=-1 | proof_steps=-1 | tactic_size=-1
Benchmarks/Basic/Static semantics correctness: Assignment 1,user,proved,220,timeout=60000 | QE=119 | RCF=0 | proof_steps=38 | tactic_size=1
Benchmarks/Basic/Static semantics correctness: Assignment 2,user,proved,292,timeout=60000 | QE=132 | RCF=0 | proof_steps=114 | tactic_size=1
Benchmarks/Basic/Static semantics correctness: Assignment 3,user,proved,352,timeout=60000 | QE=136 | RCF=0 | proof_steps=154 | tactic_size=1
Benchmarks/Basic/Static semantics correctness: Assignment 4,user,proved,748,timeout=60000 | QE=186 | RCF=0 | proof_steps=576 | tactic_size=1
Benchmarks/Basic/Static semantics correctness: Assignment 5,user,proved,118,timeout=60000 | QE=0 | RCF=0 | proof_steps=33 | tactic_size=1
Benchmarks/Basic/Static semantics correctness: Assignment 6,user,proved,1517,timeout=60000 | QE=1365 | RCF=0 | proof_steps=134 | tactic_size=1
Benchmarks/Basic/Static semantics correctness: Assignment 7,user,proved,905,timeout=60000 | QE=273 | RCF=0 | proof_steps=970 | tactic_size=1
Benchmarks/Basic/Static semantics correctness: Assignment 8,user,proved,1142,timeout=60000 | QE=315 | RCF=0 | proof_steps=925 | tactic_size=1
Benchmarks/Basic/Static semantics correctness: Assignment 9,user,proved,934,timeout=60000 | QE=295 | RCF=0 | proof_steps=490 | tactic_size=1
Benchmarks/Basic/Dynamics: Cascaded,user,proved,10997,timeout=60000 | QE=545 | RCF=0 | proof_steps=1657 | tactic_size=1
Benchmarks/Basic/Dynamics: Single integrator time,user,proved,558,timeout=60000 | QE=224 | RCF=0 | proof_steps=164 | tactic_size=1
